//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
华影视轮播,#genre#
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
香港電台(RTHK 34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000#https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8#https://epg.pw/stream/72e6d938d023bbb1ad2c783c86273475d217a32541d77fb5c4113cfe7ae02b2b.m3u8
CNN新闻,http://livees.cgtn.com/500e/prog_index.m3u8#https://livees.cgtn.com/1000e/prog_index.m3u8
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
Da大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
緯來體育,http://cloud.yumixiu768.com/tmp/123.m3u8
台視,https://s2.pub/cctv-20
民視综合,https://s2.pub/cctv-19
台湾番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://epg.pw/stream/2b383d639b6b2eade22f2d085141a38ae48a98f24b8a06f485e23f7211bbf909.m3u8#https://pulltv1.wanfudaluye.com/live/tv2.m3u8
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
BBC News Asia Pacific,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs15
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
BBC News Asia Pacific,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs15
央视超清,#genre#
奖励现金活动,http://host407776532.s1169.pppf.com.cn/app/奖励现金活动1.mp4
CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
CCTV5,http://222.223.118.222:2180/live/cctv5/index.m3u8
CCTV5+,http://222.223.118.222:2180/live/cctv5q/index.m3u8
CCTV6,http://222.223.118.222:2180/live/cctv6/index.m3u8
CCTV7,http://222.223.118.222:2180/live/cctv7/index.m3u8
CCTV8,http://222.223.118.222:2180/live/cctv8/index.m3u8
CCTV9,http://222.223.118.222:2180/live/cctv9/index.m3u8
CCTV10,http://222.223.118.222:2180/live/cctv10/index.m3u8
CCTV11,http://222.223.118.222:2180/live/cctv11/index.m3u8
CCTV12,http://222.223.118.222:2180/live/cctv12/index.m3u8
CCTV13,http://222.223.118.222:2180/live/cctv13/index.m3u8
CCTV14,http://222.223.118.222:2180/live/cctv14/index.m3u8
CCTV15,http://222.223.118.222:2180/live/cctv15/index.m3u8

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8 
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8 
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8 
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8 
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8 
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8 
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8 
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8 
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8 
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8 
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8 
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8 
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8 
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8 
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8 
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8 
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8 
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8 

央视频道,#genre#
奖励现金活动,http://host407776532.s1169.pppf.com.cn/app/奖励现金活动1.mp4

CCTV-1,http://huangfeiyan.top/zb/CCTV1.m3u8
CCTV-2,http://huangfeiyan.top/zb/CCTV2.m3u8
CCTV-3,http://huangfeiyan.top/zb/CCTV3.m3u8
CCTV-4,http://huangfeiyan.top/zb/CCTV4.m3u8
CCTV-5,http://huangfeiyan.top/zb/CCTV5.m3u8
CCTV-5+,http://huangfeiyan.top/zb/CCTV5+.m3u8
CCTV-6,http://huangfeiyan.top/zb/CCTV6.m3u8
CCTV-7,http://huangfeiyan.top/zb/CCTV7.m3u8
CCTV-8,http://huangfeiyan.top/zb/CCTV8.m3u8
CCTV-9,http://huangfeiyan.top/zb/CCTV9.m3u8
CCTV-10,http://huangfeiyan.top/zb/CCTV10.m3u8
CCTV-11,http://huangfeiyan.top/zb/CCTV11.m3u8
CCTV-12,http://huangfeiyan.top/zb/CCTV12.m3u8
CCTV-13,http://huangfeiyan.top/zb/CCTV13.m3u8
CCTV-14,http://huangfeiyan.top/zb/CCTV14.m3u8
CCTV-15,http://huangfeiyan.top/zb/CCTV15.m3u8
CCTV-16,http://huangfeiyan.top/zb/CCTV16.m3u8
CCTV-17,http://huangfeiyan.top/zb/CCTV17.m3u8

CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://182.107.188.104:8888/newlive/live/hls/12/live.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://182.107.188.104:8888/newlive/live/hls/16/live.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV-2,http://182.107.188.104:8888/newlive/live/hls/3/live.m3u8
CCTV-3,http://182.107.188.104:8888/newlive/live/hls/4/live.m3u8
CCTV-4,http://182.107.188.104:8888/newlive/live/hls/5/live.m3u8
CCTV-5,http://182.107.188.104:8888/newlive/live/hls/6/live.m3u8
CCTV-5+,http://182.107.188.104:8888/newlive/live/hls/7/live.m3u8
CCTV-6,http://182.107.188.104:8888/newlive/live/hls/8/live.m3u8
CCTV-7,http://182.107.188.104:8888/newlive/live/hls/9/live.m3u8
CCTV-8,http://182.107.188.104:8888/newlive/live/hls/10/live.m3u8
CCTV-9,http://182.107.188.104:8888/newlive/live/hls/11/live.m3u8
CCTV-11,http://182.107.188.104:8888/newlive/live/hls/12/live.m3u8
CCTV-12,http://182.107.188.104:8888/newlive/live/hls/13/live.m3u8
CCTV-14,http://182.107.188.104:8888/newlive/live/hls/15/live.m3u8
CCTV-15,http://182.107.188.104:8888/newlive/live/hls/16/live.m3u8
CCTV-15,http://182.107.188.104:8888/newlive/live/hls/17/live.m3u8

CCTV-1,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-2,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-3,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-5,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5+,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-6,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV-7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-8,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-9,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-13,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-14,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-16,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8


CCTV-1,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3
CCTV-2,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV-3,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3
CCTV-4,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3
CCTV-5+,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000018504/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=3
CCTV-6,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=3
CCTV-7,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=3
CCTV-8,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000031433/1.m3u8?channel-id=ystenlive&Contentid=1000000001000031433&livemode=1&stbId=3
CCTV-9,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-10,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000016738/1.m3u8?channel-id=bestzb&Contentid=5000000010000016738&livemode=1&stbId=3
CCTV-11,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3
CCTV-12,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000022586/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022586&livemode=1&stbId=3
CCTV-13,http://zteres.sn.chinamobile.com:6060/000000001000/5000000005000001827/1.m3u8?channel-id=bestzb&Contentid=5000000005000001827&livemode=1&stbId=3
CCTV-14,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000013647/1.m3u8?channel-id=wasusyt&Contentid=6000000001000013647&livemode=1&stbId=3
CCTV-15,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3
CCTV-17,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3
CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
CCTV5,http://222.223.118.222:2180/live/cctv5/index.m3u8
CCTV5+,http://222.223.118.222:2180/live/cctv5q/index.m3u8
CCTV6,http://222.223.118.222:2180/live/cctv6/index.m3u8
CCTV7,http://222.223.118.222:2180/live/cctv7/index.m3u8
CCTV8,http://222.223.118.222:2180/live/cctv8/index.m3u8
CCTV9,http://222.223.118.222:2180/live/cctv9/index.m3u8
CCTV10,http://222.223.118.222:2180/live/cctv10/index.m3u8
CCTV11,http://222.223.118.222:2180/live/cctv11/index.m3u8
CCTV12,http://222.223.118.222:2180/live/cctv12/index.m3u8
CCTV13,http://222.223.118.222:2180/live/cctv13/index.m3u8
CCTV14,http://222.223.118.222:2180/live/cctv14/index.m3u8
CCTV15,http://222.223.118.222:2180/live/cctv15/index.m3u8
CCTV16,hhttp://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575402.m3u8
CCTV17,http://222.223.118.222:2180/live/cctv17/index.m3u8
CCTV-4k,http://test.jdshipin.com:8880/ysp.php?id=cctv4k
CCTV8k,http://test.jdshipin.com:8880/ysp.php?id=cctv8k
CCTV1,http://test.jdshipin.com:8880/ysp.php?id=cctv1
CCTV2,http://test.jdshipin.com:8880/ysp.php?id=cctv2
CCTV3,http://test.jdshipin.com:8880/ysp.php?id=cctv3
CCTV4,http://test.jdshipin.com:8880/ysp.php?id=cctv4
CCTV5,http://test.jdshipin.com:8880/ysp.php?id=cctv5
CCTV5+,http://test.jdshipin.com:8880/ysp.php?id=cctv5p
CCTV6,http://test.jdshipin.com:8880/ysp.php?id=cctv6
CCTV6,http://test.jdshipin.com:8880/ysp.php?id=cctv6hd
CCTV7,http://test.jdshipin.com:8880/ysp.php?id=cctv7
CCTV8,http://test.jdshipin.com:8880/ysp.php?id=cctv8
CCTV9,http://test.jdshipin.com:8880/ysp.php?id=cctv9
CCTV10,http://test.jdshipin.com:8880/ysp.php?id=cctv10
CCTV11,http://test.jdshipin.com:8880/ysp.php?id=cctv11
CCTV12,http://test.jdshipin.com:8880/ysp.php?id=cctv12
CCTV13,http://test.jdshipin.com:8880/ysp.php?id=cctv13
CCTV14,http://test.jdshipin.com:8880/ysp.php?id=cctv14
CCTV15,http://test.jdshipin.com:8880/ysp.php?id=cctv15
CCTV16,http://test.jdshipin.com:8880/ysp.php?id=cctv16
CCTV16-4k,http://test.jdshipin.com:8880/ysp.php?id=cctv16-4k
CCTV17,http://test.jdshipin.com:8880/ysp.php?id=cctv17
CCTV兵器科技,http://test.jdshipin.com:8880/ysp.php?id=bqkj
CCTV第一剧场,http://test.jdshipin.com:8880/ysp.php?id=dyjc
CCTV怀旧剧场,http://test.jdshipin.com:8880/ysp.php?id=hjjc
CCTV风云剧场,http://test.jdshipin.com:8880/ysp.php?id=fyjc
CCTV风云音乐,http://test.jdshipin.com:8880/ysp.php?id=fyyy
CCTV风云足球,http://test.jdshipin.com:8880/ysp.php?id=fyzq
CCTV电视指南,http://test.jdshipin.com:8880/ysp.php?id=dszn
CCTV女性时尚,http://test.jdshipin.com:8880/ysp.php?id=nxss
CCTV央视文化精品,http://test.jdshipin.com:8880/ysp.php?id=whjp
CCTV世界地理,http://test.jdshipin.com:8880/ysp.php?id=sjdl
CCTV高尔夫网球,http://test.jdshipin.com:8880/ysp.php?id=gefwq
CCTV央视台球,http://test.jdshipin.com:8880/ysp.php?id=ystq
CCTV卫生健康,http://test.jdshipin.com:8880/ysp.php?id=wsjk
CGTN,http://test.jdshipin.com:8880/ysp.php?id=cgtn
CGTN纪录,http://test.jdshipin.com:8880/ysp.php?id=cgtnjl
CGTN西语,http://test.jdshipin.com:8880/ysp.php?id=cgtne
CGTN法语,http://test.jdshipin.com:8880/ysp.php?id=cgtnf
CGTN阿语,http://test.jdshipin.com:8880/ysp.php?id=cgtna
CGTN俄语,http://test.jdshipin.com:8880/ysp.php?id=cgtnr
CCTV1,http://rihou.cc:55/lib/migu.php?id=cctv1 
CCTV2,http://rihou.cc:55/lib/migu.php?id=cctv2 
CCTV3,http://rihou.cc:55/lib/migu.php?id=cctv3 
CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4 
CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4a 
 CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4o 
CCTV5,http://rihou.cc:55/lib/migu.php?id=cctv5
CCTV5+,http://rihou.cc:55/lib/migu.php?id=cctv5p
CCTV6,http://rihou.cc:55/lib/migu.php?id=cctv6 
CCTV7,http://rihou.cc:55/lib/migu.php?id=cctv7 
CCTV8,http://rihou.cc:55/lib/migu.php?id=cctv8 
CCTV9,http://rihou.cc:55/lib/migu.php?id=cctv9 
CCTV10,http://rihou.cc:55/lib/migu.php?id=cctv10
CCTV11,http://rihou.cc:55/lib/migu.php?id=cctv11 
CCTV12,http://rihou.cc:55/lib/migu.php?id=cctv12 
CCTV13,http://rihou.cc:55/lib/migu.php?id=cctv13 
CCTV14,http://rihou.cc:55/lib/migu.php?id=cctv14 
CCTV15,http://rihou.cc:55/lib/migu.php?id=cctv15 
CCTV17,http://rihou.cc:55/lib/migu.php?id=cctv17 

CCTV发现之旅,http://rihou.cc:55/lib/migu.php?id=fxzl
CCTV老故事,http://rihou.cc:55/lib/migu.php?id=lgs 
CCTV中学生,http://rihou.cc:55/lib/migu.php?id=zxs 

CGTN,http://rihou.cc:55/lib/migu.php?id=cgtn 
CGTN纪录,http://rihou.cc:55/lib/migu.php?id=cgtnjl 
CCTV西班牙语,http://rihou.cc:55/lib/migu.php?id=cgtne 
CCTV法语,http://rihou.cc:55/lib/migu.php?id=cgtnf
CCTV阿拉伯语,http://rihou.cc:55/lib/migu.php?id=cgtna
CCTV俄语,http://rihou.cc:55/lib/migu.php?id=cgtnr

CCTV1,http://tvbox.netsite.cc/proxy/753065176/753065176.m3u8
CCTV2,http://tvbox.netsite.cc/proxy/1231349557/1231349557.m3u8
CCTV3,http://tvbox.netsite.cc/proxy/781829366/781829366.m3u8
CCTV4,http://tvbox.netsite.cc/proxy/2065759974/2065759974.m3u8
CCTV5,http://tvbox.netsite.cc/proxy/1484254751/1484254751.m3u8
CCTV6,http://tvbox.netsite.cc/proxy/1275265590/1275265590.m3u8
CCTV7,http://tvbox.netsite.cc/proxy/1797993240/1797993240.m3u8
CCTV8,http://tvbox.netsite.cc/proxy/366510833/366510833.m3u8
CCTV9,http://tvbox.netsite.cc/proxy/41408178/41408178.m3u8
CCTV10,http://tvbox.netsite.cc/proxy/358752297/358752297.m3u8
CCTV11,http://tvbox.netsite.cc/proxy/1384058039/1384058039.m3u8
CCTV12,http://tvbox.netsite.cc/proxy/1168098921/1168098921.m3u8
CCTV13,http://tvbox.netsite.cc/proxy/547513505/547513505.m3u8
CCTV14,http://tvbox.netsite.cc/proxy/1977445545/1977445545.m3u8
CCTV15,http://tvbox.netsite.cc/proxy/2128760541/2128760541.m3u8
CCTV16,http://tvbox.netsite.cc/proxy/434481154/434481154.m3u8
CCTV17,http://tvbox.netsite.cc/proxy/2004643460/2004643460.m3u8
CCTV5+,http://tvbox.netsite.cc/proxy/1319414029/1319414029.m3u8
CCTV4k,http://tvbox.netsite.cc/proxy/679257699/679257699.m3u8


CCTV1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV5+,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV11,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
